year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP,Smith College,"Northampton, Massachusetts",To support an Emeritus Fellowship,"37,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support the International Dissertation Research Fellowship program for graduate students in the humanities and social sciences,"4,709,850"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To continue support for a program of pre-dissertation fellowships and related workshops for graduate students in the humanities and humanistic social sciences,"3,700,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support the administration of the Social Science Research Council-Mellon Mays Graduate Initiatives programs for MMUF graduate students and PhDs,"2,875,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support a program of postdoctoral fellowships for transregional research,"1,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Southern Africa Legal Services Foundation, Inc.","Washington, DC",To support an oral history project on the Legal Resource Centre,"20,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Southern Education Foundation, Inc.","Atlanta, Georgia",To support preparation for reaccreditation reviews of historically black colleges and universities,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Southwestern University,"Georgetown, Texas",To support postdoctoral teaching fellows to strengthen disciplinary writing in the humanities,"720,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,"Atlanta, Georgia",To support planning and piloting of an international studies program,"70,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,St. Mary's College of Maryland,"St. Mary's City, Maryland",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,St. Mary's College of Maryland,"St. Mary's City, Maryland",To support the strengthening of students' academic experiences outside the classroom,"30,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,"Stanford, California",To support an Emeritus Fellowship,"34,700"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,"Stanford, California",To support an Emeritus Fellowship,"34,700"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,"Stanford, California",To support an Emeritus Fellowship,"24,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,"Swarthmore, Pennsylvania",To support the endowment of a new tenure-track position in environmental economics and to provide dedicated funds for course and program development,"1,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,"Swarthmore, Pennsylvania",To support a tri-college environmental studies program in collaboration with Bryn Mawr and Haverford Colleges,"591,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Sweet Briar College,"Sweet Briar, Virginia",To support a project to expand participation in the arts management program to faculty from a variety of disciplines,"43,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Syracuse University,"Syracuse, New York","To support the Central New York Humanities Corridor, a collaborative research initiative between Syracuse University, Cornell University, and the University of Rochester","1,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Trinity College,"Hartford, Connecticut",To support curricular and faculty development initiatives within the college's Institute for Interdisciplinary Studies,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Trinity University,"San Antonio, Texas",To support curricular planning,"47,750"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Tulane University,"New Orleans, Louisiana",To support postdoctoral fellowships in the humanities and the related social sciences,"1,050,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support faculty fellowships in the humanities and research grants to senior faculty,"3,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support collectively developed projects in disciplinary innovation and cross-institutional collaboration by a consortium of university humanities centers,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California","To support a Sawyer Seminar on the Comparative Study of Cultures, entitled ""Speciesism in Biology, Culture, and Sociopolitics""","165,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support an Emeritus Fellowship,"26,600"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Davis,"Davis, California",To support a New Directions Fellowship,"225,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Davis,"Davis, California","To support a Sawyer Seminar on the Comparative Study of Cultures, entitled ""Indigenous Cosmopolitics: Dialogues about the Reconstitution of Worlds""","173,800"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Irvine,"Irvine, California",To support a University of California Humanities Research Institute program for humanities faculty and graduate students devoted to changing conceptions of work and the global workforce,"800,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support the development of a curriculum initiative in the classics department,"700,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support the development of a curriculum initiative in the English department,"650,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support an Emeritus Fellowship,"32,100"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support an Emeritus Fellowship,"26,800"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cambridge,"Cambridge, United Kingdom",To support collectively developed projects in disciplinary innovation and cross-institutional collaboration by a consortium of university humanities centers,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the University of Cape Town Opera School fellowship program,"850,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the creation of digital and print collections of photographs,"425,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support an endowment for the Southern African Labour and Development Research Unit's Summer Training Programme,"355,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support a faculty position in music technology,"300,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the development of academic staff in the humanities and social sciences,"210,000"
